word,onset,offset
in,66231.04000000001,66272.0
fact,66292.48000000001,66410.23999999999
they,66461.44,66502.4
were,66512.64,66538.23999999999
getting,66548.48000000001,66635.51999999999
a,66645.76000000001,66656.0
little,66666.23999999999,66778.88
too,66799.36,66906.88
excited,66927.36,67347.2
they,67490.56,67536.64
almost,67557.12,67674.88
knocked,67674.88,67756.8
the,67756.8,67797.76000000001
tripod,67797.76000000001,67971.84
over,68002.56,68284.16
so,68734.72,68796.16
david,68806.4,68939.52
laid,68949.76,69041.92
down,69041.92,69134.08
on,69134.08,69185.28
his,69195.52,69262.08
stomach,69241.6,69492.48
and,69559.04,69625.6
stretched,69646.08,69815.04
his,69835.52,69866.24
arm,69886.72,70009.6
out,70030.08,70137.6
to,70193.92,70250.24
steady,70270.72,70408.96
the,70429.44,70465.28
tripod,70475.52,70700.8
with,70700.8,70772.48
two,70772.48,70844.16
fingers,70874.88,71182.08
a,71617.28,71653.12
few,71663.36,71750.4
other,71770.88,71827.2
monkeys,71857.92,72016.64
noticed,72016.64,72190.72
their,72190.72,72252.16
strange,72272.64,72451.84
new,72462.08,72528.64
friend,72559.36,72702.72
lying,72712.96,72820.48
full,72851.2,72912.64
out,72943.36,72989.44
on,72999.68,73045.76
the,73056.0,73076.48
floor,73096.96,73337.6
and,73491.2,73542.4
hopped,73573.12,73690.88
onto,73701.12,73777.92
his,73818.88,73859.84
back,73890.56,74054.4
so,74247.9872,74309.4272
i,74329.9072,74370.8672
had,74381.1072,74422.0672
monkeys,74463.0272,74631.9872
on,74662.7072,74703.6672
my,74734.3872,74806.0672
back,74847.0272,74959.6672
whilst,75000.6272,75087.6672
i'm,75097.9072,75143.9872
trying,75164.4672,75277.1072
to,75287.3472,75312.9472
keep,75333.4272,75451.1872
my,75451.1872,75502.3872
camera,75512.6272,75758.3872
from,75758.3872,75855.6672
being,75855.6672,75983.6672
knocked,75993.9072,76219.1872
while,76239.6672,76331.8272
some,76342.0672,76423.9872
monkeys,76423.9872,76649.2672
trying,76669.7472,76854.0672
or,76874.5472,76935.9872
two,76987.1872,77048.6272
or,77058.8672,77079.3472
three,77099.8272,77191.9872
monkeys,77202.2272,77340.4672
are,77360.9472,77381.4272
trying,77401.9072,77514.5472
to,77524.7872,77550.3872
play,77570.8672,77637.4272
with,77668.1472,77703.9872
the,77693.7472,77724.4672
button,77734.7072,77908.7872
uhuh,77992.5504,78151.2704
and,78186.496,78232.576
all,78253.056,78309.376
of,78309.376,78345.216
a,78345.216,78360.576
sudden,78370.816,78575.616
i,78708.736,78749.696
heard,78790.656,78857.216
the,78857.216,78887.936
camera,78898.176,79026.176
going,79036.416,79133.696
off,79154.176,79277.056
and,79702.016,79748.096
i,79778.816,79809.536
didn't,79840.256,79978.496
dare,80060.416,80152.576
i,80162.816,80188.416
knew,80239.616,80326.656
that,80336.896,80403.456
if,80403.456,80480.256
i,80490.496,80557.056
looked,80567.296,80669.696
up,80690.176,80741.376
at,80761.856,80807.936
them,80828.416,80935.936
they,81069.056,81120.256
would,81140.736,81202.176
probably,81212.416,81335.296
look,81366.016,81437.696
away,81468.416,81642.496
huh,81828.8128,81905.6128
so,81915.648,81966.848
i,81977.088,82018.048
let,82043.648,82115.328
them,82125.568,82217.728
click,82217.728,82320.128
it,82340.608,82376.448
click,82402.048,82494.208
it,82504.448,82560.768
click,82571.008,82668.288
it,82699.008,82760.448
and,82760.448,82796.288
i,82827.008,82878.208
sort,82990.848,83144.448
of,83164.928,83211.008
very,83231.488,83400.448
carefully,83431.168,83630.848
looked,83671.808,83769.088
up,83799.808,83907.328
to,84081.408,84112.128
see,84163.328,84322.048
them,84342.528,84444.928
pulling,84470.528,84588.288
these,84608.768,84716.288
amazing,84726.528,85115.648
contorted,85115.648,85458.688
faces,85750.528,86057.728
like,86067.968,86206.208
howling,86247.168,86554.368
mouths,86595.328,86851.328
and,86892.288,87004.928
the,87363.328,87409.408
the,87481.088,87506.688
smiling,87527.168,87952.128
mouth,87982.848,88167.168
and,88187.648,88233.728
more,88243.968,88336.128
besides,88346.368,88750.848
the,89123.5328,89154.2528
monkeys,89174.7328,89476.8128
were,89517.7728,89609.9328
taking,89609.9328,89784.0128
selfies,89814.7328,90142.4128
amazing,90403.5328,90772.1728
beautiful,90895.0528,91192.0128
weird,91243.2128,91412.1728
selfies,91432.6528,91739.8528
i,92030.7712,92056.3712
i,92107.5712,92158.7712
just,92169.0112,92220.2112
wanted,92250.9312,92363.5712
it,92384.0512,92425.0112
to,92435.2512,92476.2112
go,92486.4512,92522.2912
on,92542.7712,92604.2112
forever,92604.2112,92803.8912
really,92824.3712,93044.5312
when,95290.5216,95351.9616
david,95351.9616,95469.7216
finally,95490.2016,95648.9216
stood,95659.1616,95751.3216
up,95782.0416,95858.8416
and,95858.8416,95899.8016
checked,95910.0416,96022.6816
their,96022.6816,96084.1216
work,96125.0816,96319.6416
he,96483.4816,96514.2016
saw,96534.6816,96611.4816
that,96631.9616,96698.5216
the,96708.7616,96734.3616
shots,96765.0816,96903.3216
weren't,96934.0416,97036.4416
just,97036.4416,97118.3616
regular,97138.8416,97297.5616
old,97348.7616,97451.1616
everyday,97481.8816,97650.8416
selfies,97681.5616,97993.8816
they,98290.8416,98331.8016
weren't,98362.5216,98505.8816
that,98505.8816,98582.6816
guy,98603.1616,98690.2016
at,98690.2016,98741.4016
the,98741.4016,98777.2416
gym,98807.9616,98951.3216
taking,98961.5616,99089.5616
pictures,99099.8016,99243.1616
of,99263.6416,99304.6016
his,99314.8416,99366.0416
muscles,99376.2816,99535.0016
in,99555.4816,99591.3216
the,99591.3216,99627.1616
mirror,99637.4016,99939.4816
these,100241.5616,100297.8816
were,100328.6016,100354.2016
next,100395.1616,100497.5616
level,100538.5216,100722.8416
transcendentally,100912.2816,101373.0816
good,101393.5616,101531.8016
they,101859.4816,101936.2816
somehow,101956.7616,102105.2416
escape,102135.9616,102310.0416
the,102325.4016,102361.2416
bounds,102381.7216,102530.2016
of,102540.4416,102581.4016
selfie,102581.4016,102883.4816
and,102919.3216,102985.8816
enter,103006.3616,103144.6016
the,103154.8416,103185.5616
realm,103206.0416,103334.0416
of,103344.2816,103390.3616
art,103410.8416,103528.6016
there,104291.4816,104342.6816
was,104342.6816,104393.8816
one,104434.8416,104511.6416
shot,104532.1216,104649.8816
in,104660.1216,104690.8416
particular,104690.8416,104951.9616
that,104962.2016,105028.7616
caught,105028.7616,105151.6416
david's,105151.6416,105341.0816
eye,105351.3216,105494.6816
the,105986.2016,106016.9216
monkey's,106037.4016,106185.8816
face,106196.1216,106324.1216
is,106324.1216,106400.9216
very,106421.4016,106569.8816
close,106580.1216,106687.6416
to,106697.8816,106754.2016
the,106764.4416,106795.1616
camera,106805.4016,107025.5616
looking,107138.2016,107245.7216
straight,107286.6816,107394.2016
into,107424.9216,107496.6016
the,107496.6016,107537.5616
lens,107558.0416,107767.9616
it's,108131.4816,108203.1616
hair,108223.6416,108387.4816
perfectly,108689.5616,108873.8816
coiffed,108914.8416,109135.0016
eyes,109488.2816,109734.0416
friendly,109744.2816,110005.4016
big,110256.2816,110384.2816
and,110384.2816,110430.3616
round,110450.8416,110589.0816
and,110599.3216,110655.6416
amber,110665.8816,110860.4416
all,111382.6816,111433.8816
of,111444.1216,111479.9616
which,111490.2016,111551.6416
are,111572.1216,111592.6016
nice,111613.0816,111751.3216
details,111751.3216,112079.0016
and,112089.2416,112145.5616
details,112145.5616,112299.1616
are,112319.6416,112360.6016
important,112370.8416,112631.9616
but,112703.6416,112744.6016
the,112754.8416,112790.6816
focus,112821.4016,112985.2416
of,113026.2016,113072.2816
this,113082.5216,113179.8016
selfie,113159.3216,113435.8016
the,113645.7216,113676.4416
main,113686.6816,113799.3216
event,113809.5616,113978.5216
is,114275.4816,114336.9216
the,114336.9216,114362.5216
monkey's,114413.7216,114633.8816
selfsatisfied,114644.1216,115063.9616
grin,115084.4416,115325.0816
teeth,115632.2816,115765.4016
that,115765.4016,115806.3616
are,115837.0816,115862.6816
too,115883.1616,115959.9616
big,115959.9616,116052.1216
for,116062.3616,116113.5616
its,116134.0416,116190.3616
mouth,116231.3216,116441.2416
with,116451.4816,116507.8016
gaps,116518.0416,116661.4016
between,116692.1216,116881.5616
them,116881.5616,117009.5616
a,117378.2016,117403.8016
real,117475.4816,117598.3616
grin,117608.6016,117762.2016
like,118120.6016,118176.9216
he,118187.1616,118228.1216
knows,118269.0816,118386.8416
he's,118397.0816,118453.4016
smiling,118443.1616,118637.7216
for,118658.2016,118719.6416
a,118719.6416,118765.7216
picture,118745.2416,118975.6416
i,119293.7984,119385.9584
i,119462.7584,119554.9184
just,119565.1584,119718.7584
saw,119698.2784,119810.9184
it,119841.6384,119867.2384
on,119887.7184,119974.7584
the,119974.7584,119995.2384
front,120025.9584,120138.5984
cover,120179.5584,120317.7984
of,120348.5184,120415.0784
national,120415.0784,120624.9984
geographic,120645.4784,121039.7184
or,121060.1984,121096.0384
something,121136.9984,121311.0784
like,121321.3184,121418.5984
that,121439.0784,121572.1984
and,121572.1984,121628.5184
i,121659.2384,121705.3184
just,121725.7984,121823.0784
thought,121843.5584,121940.8384
i,121971.5584,122012.5184
need,122032.9984,122160.9984
to,122181.4784,122217.3184
get,122237.7984,122335.0784
this,122355.5584,122498.9184
to,122509.1584,122539.8784
my,122560.3584,122642.2784
agents,122652.5184,122969.9584
david,126401.4336,126544.7936
and,126544.7936,126575.5136
his,126606.2336,126647.1936
agents,126688.1536,126826.3936
put,126857.1136,126903.1936
out,126933.9136,126969.7536
a,126979.9936,127026.0736
press,127036.3136,127143.8336
release,127164.3136,127307.6736
about,127328.1536,127415.1936
the,127435.6736,127456.1536
selfies,127476.6336,127773.5936
they,127947.6736,127988.6336
thought,127998.8736,128085.9136
they,128096.1536,128137.1136
could,128147.3536,128208.7936
grab,128219.0336,128341.9136
people's,128352.1536,128485.2736
attention,128515.9936,128705.4336
with,128766.8736,128802.7136
the,128802.7136,128823.1936
photos,128864.1536,129125.2736
and,129176.4736,129243.0336
then,129243.0336,129330.0736
use,129350.5536,129417.1136
the,129417.1136,129447.8336
opportunity,129478.5536,129811.3536
to,129821.5936,129847.1936
send,129867.6736,129970.0736
a,129970.0736,129995.6736
message,130005.9136,130174.8736
about,130195.3536,130292.6336
conservation,130313.1136,130702.2336
and,130968.4736,131040.1536
also,131060.6336,131188.6336
they,131178.3936,131219.3536
wanted,131250.0736,131321.7536
to,131321.7536,131367.8336
sell,131378.0736,131475.3536
the,131475.3536,131506.0736
pictures,131516.3136,131685.27360000001
of,131705.7536,131772.3136
course,131782.55359999998,131956.6336
these,132647.8336,132729.7536
monkeys,132750.2336,133042.0736
crested,133211.0336,133390.2336
black,133410.71360000002,133543.8336
macaques,133543.8336,133845.9136
are,133968.7936,134014.8736
considered,134035.3536,134229.9136
to,134250.3936,134291.3536
be,134301.5936,134368.1536
critically,134388.6336,134572.9536
endangered,134603.6736,134946.7136
which,135294.8736,135346.0736
is,135366.5536,135407.5136
just,135427.9936,135515.0336
one,135545.7536,135632.7936
step,135663.5136,135765.9136
before,135786.3936,136027.0336
extinct,136114.0736,136370.0736
in,136370.0736,136416.1536
the,136436.6336,136457.1136
wild,136487.8336,136764.3136
they've,137168.7936,137255.8336
lost,137255.8336,137342.8736
eighty,137424.7936,137486.2336
percent,137516.9536,137655.1936
of,137675.6736,137706.3936
their,137706.3936,137767.8336
population,137788.3136,138115.9936
in,138146.7136,138177.4336
the,138177.4336,138208.1536
last,138228.6336,138331.0336
forty,138382.2336,138576.7936
years,138587.0336,138822.5536
because,138822.5536,138965.9136
of,138976.1536,139011.9936
humans,139032.4736,139375.5136
which,139790.2336,139846.5536
is,139867.0336,139897.7536
why,139907.9936,139979.6736
david,140000.1536,140112.7936
went,140133.2736,140204.9536
to,140204.9536,140235.6736
indonesia,140256.1536,140491.6736
in,140471.1936,140522.3936
the,140512.1536,140542.8736
first,140573.5936,140670.8736
place,140681.1136,140906.3936
he,141449.1136,141464.4736
wanted,141484.9536,141633.4336
to,141633.4336,141664.1536
take,141694.8736,141781.9136
photographs,141802.3936,142124.9536
that,142135.1936,142186.3936
would,142196.6336,142258.0736
inspire,142288.7936,142493.5936
us,142524.3136,142595.9936
humans,142636.9536,142908.3136
into,142964.6336,143026.0736
caring,143056.7936,143184.7936
more,143205.2736,143338.3936
about,143379.3536,143491.9936
these,143502.2336,143573.9136
little,143584.1536,143686.5536
monkeys,143696.7936,143993.7536
to,144234.3936,144265.1136
stop,144275.3536,144382.8736
killing,144413.5936,144562.0736
them,144562.0736,144695.1936
the,145483.6736,145519.5136
selfies,145529.7536,145708.9536
didn't,145719.1936,145842.0736
end,145872.7936,145949.5936
up,145949.5936,146021.2736
on,146031.5136,146072.4736
the,146082.7136,146108.3136
cover,146128.7936,146246.5536
of,146267.0336,146297.7536
national,146297.7536,146451.3536
geographic,146471.8336,146814.8736
but,147096.4736,147157.9136
the,147157.9136,147188.6336
british,147198.8736,147316.6336
tabloids,147337.1136,147557.2736
were,147567.5136,147608.4736
interested,147639.1936,147884.9536
the,148335.5136,148371.3536
daily,148381.5936,148494.2336
mail,148524.9536,148622.2336
was,148622.2336,148678.5536
the,148688.7936,148714.3936
first,148755.3536,148862.8736
newspaper,148893.5936,149118.8736
to,149118.8736,149144.4736
publish,149164.9536,149308.3136
a,149328.7936,149339.0336
story,149359.5136,149513.1136
about,149513.1136,149620.6336
the,149620.6336,149651.3536
selfies,149661.5936,149963.6736
this,150235.0336,150311.8336
was,150332.3136,150383.5136
in,150393.7536,150444.9536
two,150455.1936,150511.5136
thousand,150516.6336,150644.6336
eleven,150670.2336,150849.4336
within,151180.288,151282.688
an,151292.928,151344.128
hour,151354.368,151538.688
it,151707.648,151774.208
was,151794.688,151989.248
all,152240.128,152332.288
over,152352.768,152409.088
your,152429.568,152511.488
country,152521.728,152854.528
australia,152854.528,153212.928
germany,153243.648,153525.248
uh,153817.088,154093.568
i,154114.048,154160.128
was,154170.368,154247.168
getting,154257.408,154375.168
emails,154416.128,154774.528
everywhere,154871.808,155117.568
my,155127.808,155214.848
inbox,155245.568,155491.328
went,155491.328,155578.368
crazy,155578.368,155859.968
uh,156095.488,156172.288
people,156213.248,156377.088
wanting,156387.328,156581.888
to,156592.128,156633.088
know,156633.088,156704.768
the,156704.768,156725.248
story,156745.728,157063.168
wanting,157232.128,157360.128
to,157349.888,157390.848
use,157401.088,157498.368
the,157498.368,157549.568
image,157559.808,157902.848
um,158204.928,158373.888
literally,158486.528,158737.408
my,158737.408,158809.088
phone,158850.048,159003.648
was,159013.888,159075.328
hot,159085.568,159285.248
with,159315.968,159423.488
with,159433.728,159556.608
with,159587.328,159669.248
calls,159699.968,159966.208
over,160247.6544,160303.9744
the,160314.2144,160344.9344
next,160344.9344,160442.2144
few,160452.4544,160539.4944
months,160570.2144,160795.4944
the,160913.2544,160949.0944
monkey,160959.3344,161087.3344
selfies,161107.8144,161292.1344
sold,161281.8944,161394.5344
pretty,161394.5344,161491.8144
well,161522.5344,161645.4144
david,162080.6144,162208.6144
was,162229.0944,162270.0544
licensing,162280.2944,162536.2944
them,162546.5344,162638.6944
to,162648.9344,162695.0144
publications,162705.2544,163089.2544
and,163109.7344,163155.8144
selling,163166.0544,163314.5344
prints,163324.7744,163560.2944
and,164056.9344,164108.1344
then,164108.1344,164164.4544
one,164174.6944,164266.8544
day,164266.8544,164435.8144
he,164487.0144,164538.2144
goes,164548.4544,164630.3744
online,164630.3744,164799.3344
to,164809.5744,164830.0544
research,164850.5344,165034.8544
the,165055.3344,165080.9344
monkeys,165101.4144,165321.5744
i,165529.7536,165560.4736
started,165611.6736,165770.3936
to,165780.6336,165847.1936
just,165857.4336,166026.3936
search,166149.2736,166384.7936
crested,166430.8736,166656.1536
black,166686.8736,166799.5136
macaque,166799.5136,167045.2736
one,167086.2336,167193.7536
day,167203.9936,167321.7536
in,167331.9936,167413.9136
in,167439.5136,167495.8336
the,167506.0736,167541.9136
google,167541.9136,167731.3536
and,168079.5136,168181.9136
there,168181.9136,168253.5936
was,168253.5936,168294.5536
wikipedia,168325.2736,168663.1936
top,168704.1536,168811.6736
of,168821.9136,168862.8736
the,168862.8736,168893.5936
list,168914.0736,169021.5936
as,169042.0736,169083.0336
